"Machine Name","Days in Calendar DateTime","Shift Name","ReasonState Group1","ReasonState Group2","ReasonState Name","Reason Occurrences","Scheduled Hours"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","3","0.0631502777777778"
"TAL - Línea One Way V2","15/1/25","Día Tarde","Mantenimiento","Llenadora","Salida llenadora, caída guía seguridad - Mantenimiento","3","0.0622652432777778"
"TAL - Línea One Way V2","14/1/25","Día Tarde","Mantenimiento","Sopladora","Problema en el Chiller","1","0.0620401984166667"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Llenadora","Caída de guía de seguridad por problema en pinza - Botella mal tapada","5","0.0608594444444444"
"TAL - Línea One Way V2","14/1/25","Turno Día","Mantenimiento","Mixer","Falla en bomba de Jarabes","1","0.0603832540833333"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","11","0.0583702777777778"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Capsuladora","Tapa girada cabezal N° 1","2","0.0583519444444444"
"TAL - Línea RGB","15/1/25","Turno Dia","Mantenimiento","Coronador","Cambio o reparación - Coronador","12","0.0579441666666667"
"TAL - Línea RGB","18/1/25","Turno Dia","Mantenimiento","Omnivision","Ajuste eléctrico o mecánico","1","0.0578247222222222"
"TAL - Línea One Way V2","13/1/25","Turno Día","Mantenimiento","Mixer","Presión de Co2 - Mantenimiento","1","0.0558552778611111"
"TAL - Línea One Way V2","13/1/25","Turno Día","Mantenimiento","Mixer","Presión de Co2 - Mantenimiento","2","0.0526468255833333"
"TAL - Línea RGB","14/1/25","Turno Dia","Mantenimiento","Mixer","Error de Mezcla","1","0.05252"
"TAL - Línea One Way V2","15/1/25","Turno Día","Mantenimiento","Llenadora","Espumado al inicio de proceso","2","0.0524087820277778"
"TAL - Línea One Way V2","14/1/25","Día Tarde","Mantenimiento","Robopac","Corte de Film en Robopack","1","0.0509704366388889"
"TAL - Línea RGB","14/1/25","Turno Dia","Mantenimiento","Mixer","Error de Mezcla","1","0.0508491666666667"
"TAL - Línea One Way V2","14/1/25","Turno Noche","Mantenimiento","Robopac","Corte de Film en Robopack","4","0.0496823021111111"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Llenadora","Caída de guía de seguridad por problema en pinza - Botella mal tapada","2","0.0489044444444444"
"TAL - Línea Ref Pet (Llenadora)","19/1/25","Turno  Tarde","Mantenimiento","Omnivision","Ajuste eléctrico o mecánico","2","0.0484169848611111"
"TAL - Línea One Way V2","18/1/25","Turno Noche","Mantenimiento","Túnel","Rectificación de dientes de cuchillo","1","0.0482555555555556"
"TAL - Línea RGB","15/1/25","Turno Dia","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","2","0.0464766666666667"
"TAL - Línea One Way V2","16/1/25","Día Tarde","Mantenimiento","Sopladora","Presión de soplado insuficiente","2","0.0461474513611111"
"TAL - Línea One Way V2","15/1/25","Turno Noche","Mantenimiento","Sopladora","Cambio de Lamparas","1","0.0428263888888889"
"TAL - Línea Ref Pet (Llenadora)","14/1/25","Turno Día","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","2","0.0393898413333333"
